Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,2498685.51,96436.89,342751.50,1003,0,737,0,2359,0,215,0,13,0.7922602029032543,2076
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,6319734.30,131871.56,56650.00,1581,0,441,0,3563,0,661,0,26,0.9717921877960497,5712
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,131245.56,3091.70,2030.00,58,0,114,0,171,0,24,0,1,0.8573447338972086,204
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3056362.41,1638188.99,1626552.00,1372,0,556,0,3139,0,637,0,12,0.9645399124732208,4824
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,1051574.00,322868.44,748215.00,200,0,51,0,550,0,73,0,14,0.35175996613241406,2916
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,82954.43,66613.86,293752.00,104,0,22,0,223,0,76,0,2,0.972915715247449,588
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,515964.60,524762.83,110873.25,372,0,139,0,920,0,167,0,14,0.9503655050732868,1548
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1422399.25,794164.56,215552.36,532,0,184,0,1348,0,168,0,15,0.9446543666605891,2028
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1740040.14,328151.48,207463.44,364,0,120,0,1045,0,101,0,10,0.9933196538702282,1080
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,5153089.98,0.00,0,1386,0,342,0,3154,0,632,19,0.9925471928598851,5772
